Saliency,Remaining,Accuracy,Epochs
0.0009765625,93.4558,92.53,50
0.001953125,74.055,92.8,100
0.00390625,47.7587,93.13,150
0.0078125,33.0958,92.95,200
0.015625,24.4001,93.42,250
0.03125,18.4732,93.84,300
0.0625,14.0336,93.49,350
0.125,10.539,92.84,400
0.25,7.6724,93.68,450
0.5,5.3308,94.29,500
1,3.4888,93.51,550
2,2.1626,93.74,600
4,1.3027,93.43,650
8,0.7882,92.73,700
16,0.4806,92.04,750
32,0.2886,90.08,800
