Saliency,Remaining
0.000244140625,95.4228
0.00048828125,94.7332
0.0009765625,90.636
0.00390625,48.0066
0.0078125,35.4975
0.015625,26.3534
0.03125,18.9047
0.0625,12.9047
0.125,8.2947
0.25,5.2579
0.5,3.2177
1.0,2.0495
2.0,1.3492
4.0,0.9016
8.0,0.5944
16.0,0.3603
32.0,0.1968
64.0,0.1021
