Epoch,Saliency,Remaining_Percentage,Accuracy
305,5.555777171650789e-09,11.1446,91.2100
307,6.199450730548506e-09,10.3916,89.3600
310,6.983447597974646e-09,9.6386,89.1900
312,8.158794528867475e-09,8.8855,89.2100
315,9.283072976984386e-09,8.1325,88.0200
317,1.0690068386054463e-08,7.3795,86.1700
320,1.2655509529224673e-08,6.6265,87.2500
323,1.4519363489284842e-08,5.8735,86.6200
325,1.5507207962173197e-08,5.1205,86.2500
328,1.5855492918603886e-08,4.3675,53.2300
330,1.6369957833717308e-08,3.6145,24.6400
333,1.9838592990595316e-08,2.8614,26.2400
335,2.8669600027342312e-08,2.1084,26.3100
338,6.843806232836869e-08,1.3554,28.1100
341,4.181234908173792e-05,0.6024,10.0000
