"epoch","serene-breeze-160 - _step","serene-breeze-160 - _step__MIN","serene-breeze-160 - _step__MAX","serene-breeze-160 - accuracy","serene-breeze-160 - accuracy__MIN","serene-breeze-160 - accuracy__MAX"
"141","140","140","140","94.54","94.54","94.54"
"142","141","141","141","94.49","94.49","94.49"
"143","142","142","142","94.53","94.53","94.53"
"144","143","143","143","94.55","94.55","94.55"
"145","144","144","144","94.54","94.54","94.54"
"146","145","145","145","94.48","94.48","94.48"
"147","146","146","146","94.53","94.53","94.53"
"148","147","147","147","94.46","94.46","94.46"
"149","148","148","148","94.54","94.54","94.54"
"150","149","149","149","94.51","94.51","94.51"
"151","150","150","150","94.49","94.49","94.49"
"152","151","151","151","94.56","94.56","94.56"
"153","152","152","152","94.63","94.63","94.63"
"154","153","153","153","94.54","94.54","94.54"
"155","154","154","154","94.54","94.54","94.54"
"156","155","155","155","94.61","94.61","94.61"
"157","156","156","156","94.62","94.62","94.62"
"158","157","157","157","94.63","94.63","94.63"
"159","158","158","158","94.57","94.57","94.57"
"160","159","159","159","94.45","94.45","94.45"
