"epoch","tough-oath-133 - _step","tough-oath-133 - _step__MIN","tough-oath-133 - _step__MAX","tough-oath-133 - sparsity","tough-oath-133 - sparsity__MIN","tough-oath-133 - sparsity__MAX"
"126","125","125","125","1.4314","1.4314","1.4314"
"127","126","126","126","1.4315","1.4315","1.4315"
"128","127","127","127","1.4317","1.4317","1.4317"
"129","128","128","128","1.432","1.432","1.432"
"130","129","129","129","1.4321","1.4321","1.4321"
"131","130","130","130","1.4321","1.4321","1.4321"
"132","131","131","131","1.4324","1.4324","1.4324"
"133","132","132","132","1.4324","1.4324","1.4324"
"134","133","133","133","1.4324","1.4324","1.4324"
"135","134","134","134","1.4324","1.4324","1.4324"
"136","135","135","135","1.4325","1.4325","1.4325"
"137","136","136","136","1.4326","1.4326","1.4326"
"138","137","137","137","1.4327","1.4327","1.4327"
"139","138","138","138","1.4327","1.4327","1.4327"
"140","139","139","139","1.4327","1.4327","1.4327"
"141","140","140","140","1.4327","1.4327","1.4327"
"142","141","141","141","1.4328","1.4328","1.4328"
"143","142","142","142","1.4329","1.4329","1.4329"
"144","143","143","143","1.4328","1.4328","1.4328"
"145","144","144","144","1.4329","1.4329","1.4329"
"146","145","145","145","1.4329","1.4329","1.4329"
"147","146","146","146","1.4329","1.4329","1.4329"
"148","147","147","147","1.4329","1.4329","1.4329"
"149","148","148","148","1.4329","1.4329","1.4329"
"150","149","149","149","1.4329","1.4329","1.4329"
"151","150","150","150","1.4329","1.4329","1.4329"
"152","151","151","151","1.4329","1.4329","1.4329"
"153","152","152","152","1.4329","1.4329","1.4329"
"154","153","153","153","1.4329","1.4329","1.4329"
"155","154","154","154","1.4329","1.4329","1.4329"
"156","155","155","155","1.4329","1.4329","1.4329"
"157","156","156","156","1.4329","1.4329","1.4329"
"158","157","157","157","1.4329","1.4329","1.4329"
"159","158","158","158","1.4329","1.4329","1.4329"
"160","159","159","159","1.4329","1.4329","1.4329"
