"epoch","silver-violet-163 - _step","silver-violet-163 - _step__MIN","silver-violet-163 - _step__MAX","silver-violet-163 - accuracy","silver-violet-163 - accuracy__MIN","silver-violet-163 - accuracy__MAX"
"142","141","141","141","94.43","94.43","94.43"
"143","142","142","142","94.48","94.48","94.48"
"144","143","143","143","94.46","94.46","94.46"
"145","144","144","144","94.42","94.42","94.42"
"146","145","145","145","94.39","94.39","94.39"
"147","146","146","146","94.39","94.39","94.39"
"148","147","147","147","94.55","94.55","94.55"
"149","148","148","148","94.6","94.6","94.6"
"150","149","149","149","94.5","94.5","94.5"
"151","150","150","150","94.52","94.52","94.52"
"152","151","151","151","94.51","94.51","94.51"
"153","152","152","152","94.46","94.46","94.46"
"154","153","153","153","94.43","94.43","94.43"
"155","154","154","154","94.52","94.52","94.52"
"156","155","155","155","94.44","94.44","94.44"
"157","156","156","156","94.51","94.51","94.51"
"158","157","157","157","94.49","94.49","94.49"
"159","158","158","158","94.49","94.49","94.49"
"160","159","159","159","94.46","94.46","94.46"
