"epoch","cosmic-lion-159 - _step","cosmic-lion-159 - _step__MIN","cosmic-lion-159 - _step__MAX","cosmic-lion-159 - sparsity","cosmic-lion-159 - sparsity__MIN","cosmic-lion-159 - sparsity__MAX"
"127","126","126","126","1.6239","1.6239","1.6239"
"128","127","127","127","1.6239","1.6239","1.6239"
"129","128","128","128","1.624","1.624","1.624"
"130","129","129","129","1.6239","1.6239","1.6239"
"131","130","130","130","1.6238","1.6238","1.6238"
"132","131","131","131","1.6239","1.6239","1.6239"
"133","132","132","132","1.624","1.624","1.624"
"134","133","133","133","1.624","1.624","1.624"
"135","134","134","134","1.624","1.624","1.624"
"136","135","135","135","1.624","1.624","1.624"
"137","136","136","136","1.624","1.624","1.624"
"138","137","137","137","1.6239","1.6239","1.6239"
"139","138","138","138","1.624","1.624","1.624"
"140","139","139","139","1.624","1.624","1.624"
"141","140","140","140","1.6239","1.6239","1.6239"
"142","141","141","141","1.624","1.624","1.624"
"143","142","142","142","1.6239","1.6239","1.6239"
"144","143","143","143","1.6239","1.6239","1.6239"
"145","144","144","144","1.624","1.624","1.624"
"146","145","145","145","1.6239","1.6239","1.6239"
"147","146","146","146","1.624","1.624","1.624"
"148","147","147","147","1.6239","1.6239","1.6239"
"149","148","148","148","1.624","1.624","1.624"
"150","149","149","149","1.624","1.624","1.624"
"151","150","150","150","1.624","1.624","1.624"
"152","151","151","151","1.624","1.624","1.624"
"153","152","152","152","1.624","1.624","1.624"
"154","153","153","153","1.624","1.624","1.624"
"155","154","154","154","1.624","1.624","1.624"
"156","155","155","155","1.624","1.624","1.624"
"157","156","156","156","1.624","1.624","1.624"
"158","157","157","157","1.624","1.624","1.624"
"159","158","158","158","1.624","1.624","1.624"
"160","159","159","159","1.624","1.624","1.624"
