"epoch","fancy-oath-28 - _step","fancy-oath-28 - _step__MIN","fancy-oath-28 - _step__MAX","fancy-oath-28 - sparsity","fancy-oath-28 - sparsity__MIN","fancy-oath-28 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","96.5871","96.5871","96.5871"
"4","3","3","3","86.5767","86.5767","86.5767"
"5","4","4","4","72.2863","72.2863","72.2863"
"6","5","5","5","55.9138","55.9138","55.9138"
"7","6","6","6","46.7915","46.7915","46.7915"
"8","7","7","7","41.7001","41.7001","41.7001"
"9","8","8","8","38.9397","38.9397","38.9397"
"10","9","9","9","37.6075","37.6075","37.6075"
"11","10","10","10","37.0687","37.0687","37.0687"
"12","11","11","11","36.1983","36.1983","36.1983"
"13","12","12","12","35.0068","35.0068","35.0068"
"14","13","13","13","33.2781","33.2781","33.2781"
"15","14","14","14","30.8735","30.8735","30.8735"
"16","15","15","15","27.8261","27.8261","27.8261"
"17","16","16","16","24.407","24.407","24.407"
"18","17","17","17","20.9465","20.9465","20.9465"
"19","18","18","18","17.6866","17.6866","17.6866"
"20","19","19","19","15.494","15.494","15.494"
"21","20","20","20","13.9783","13.9783","13.9783"
"22","21","21","21","12.9032","12.9032","12.9032"
"23","22","22","22","12.1383","12.1383","12.1383"
"24","23","23","23","11.5928","11.5928","11.5928"
"25","24","24","24","11.2119","11.2119","11.2119"
"26","25","25","25","10.8134","10.8134","10.8134"
"27","26","26","26","10.3994","10.3994","10.3994"
"28","27","27","27","9.96","9.96","9.96"
"29","28","28","28","9.4795","9.4795","9.4795"
"30","29","29","29","8.959","8.959","8.959"
"31","30","30","30","8.3977","8.3977","8.3977"
"32","31","31","31","7.7964","7.7964","7.7964"
"33","32","32","32","7.1705","7.1705","7.1705"
"34","33","33","33","6.5348","6.5348","6.5348"
"35","34","34","34","5.9061","5.9061","5.9061"
"36","35","35","35","5.2966","5.2966","5.2966"
"37","36","36","36","4.7197","4.7197","4.7197"
"38","37","37","37","4.1871","4.1871","4.1871"
"39","38","38","38","3.7735","3.7735","3.7735"
"40","39","39","39","3.4507","3.4507","3.4507"
"41","40","40","40","3.1913","3.1913","3.1913"
"42","41","41","41","2.9818","2.9818","2.9818"
"43","42","42","42","2.8114","2.8114","2.8114"
"44","43","43","43","2.6754","2.6754","2.6754"
"45","44","44","44","2.5641","2.5641","2.5641"
"46","45","45","45","2.4735","2.4735","2.4735"
"47","46","46","46","2.4003","2.4003","2.4003"
"48","47","47","47","2.3431","2.3431","2.3431"
"49","48","48","48","2.2977","2.2977","2.2977"
"50","49","49","49","2.2489","2.2489","2.2489"
"51","50","50","50","2.2007","2.2007","2.2007"
"52","51","51","51","2.1509","2.1509","2.1509"
"53","52","52","52","2.1015","2.1015","2.1015"
"54","53","53","53","2.0493","2.0493","2.0493"
"55","54","54","54","1.9956","1.9956","1.9956"
"56","55","55","55","1.9376","1.9376","1.9376"
"57","56","56","56","1.8769","1.8769","1.8769"
"58","57","57","57","1.8138","1.8138","1.8138"
"59","58","58","58","1.7482","1.7482","1.7482"
"60","59","59","59","1.679","1.679","1.679"
"61","60","60","60","1.6059","1.6059","1.6059"
"62","61","61","61","1.5308","1.5308","1.5308"
"63","62","62","62","1.4531","1.4531","1.4531"
"64","63","63","63","1.376","1.376","1.376"
"65","64","64","64","1.2979","1.2979","1.2979"
"66","65","65","65","1.2188","1.2188","1.2188"
"67","66","66","66","1.142","1.142","1.142"
"68","67","67","67","1.0766","1.0766","1.0766"
"69","68","68","68","1.0209","1.0209","1.0209"
"70","69","69","69","0.9725","0.9725","0.9725"
"71","70","70","70","0.9309","0.9309","0.9309"
"72","71","71","71","0.8945","0.8945","0.8945"
"73","72","72","72","0.8633","0.8633","0.8633"
"74","73","73","73","0.8367","0.8367","0.8367"
"75","74","74","74","0.8132","0.8132","0.8132"
"76","75","75","75","0.7934","0.7934","0.7934"
"77","76","76","76","0.7777","0.7777","0.7777"
"78","77","77","77","0.7656","0.7656","0.7656"
"79","78","78","78","0.7544","0.7544","0.7544"
"80","79","79","79","0.7469","0.7469","0.7469"
"81","80","80","80","0.7416","0.7416","0.7416"
"82","81","81","81","0.7389","0.7389","0.7389"
"83","82","82","82","0.7388","0.7388","0.7388"
"84","83","83","83","0.742","0.742","0.742"
"85","84","84","84","0.7473","0.7473","0.7473"
"86","85","85","85","0.7548","0.7548","0.7548"
"87","86","86","86","0.7653","0.7653","0.7653"
"88","87","87","87","0.7734","0.7734","0.7734"
"89","88","88","88","0.7804","0.7804","0.7804"
"90","89","89","89","0.7865","0.7865","0.7865"
"91","90","90","90","0.7931","0.7931","0.7931"
"92","91","91","91","0.7978","0.7978","0.7978"
"93","92","92","92","0.804","0.804","0.804"
"94","93","93","93","0.8081","0.8081","0.8081"
"95","94","94","94","0.8115","0.8115","0.8115"
"96","95","95","95","0.8133","0.8133","0.8133"
"97","96","96","96","0.8148","0.8148","0.8148"
"98","97","97","97","0.8144","0.8144","0.8144"
"99","98","98","98","0.8116","0.8116","0.8116"
"100","99","99","99","0.8074","0.8074","0.8074"
"101","100","100","100","0.8021","0.8021","0.8021"
"102","101","101","101","0.9112","0.9112","0.9112"
"103","102","102","102","0.9707","0.9707","0.9707"
"104","103","103","103","1.0048","1.0048","1.0048"
"105","104","104","104","1.0302","1.0302","1.0302"
"106","105","105","105","1.0466","1.0466","1.0466"
"107","106","106","106","1.058","1.058","1.058"
"108","107","107","107","1.0671","1.0671","1.0671"
"109","108","108","108","1.0747","1.0747","1.0747"
"110","109","109","109","1.08","1.08","1.08"
"111","110","110","110","1.0854","1.0854","1.0854"
"112","111","111","111","1.0885","1.0885","1.0885"
"113","112","112","112","1.091","1.091","1.091"
"114","113","113","113","1.0935","1.0935","1.0935"
"115","114","114","114","1.0963","1.0963","1.0963"
"116","115","115","115","1.098","1.098","1.098"
"117","116","116","116","1.1","1.1","1.1"
"118","117","117","117","1.1008","1.1008","1.1008"
"119","118","118","118","1.1021","1.1021","1.1021"
"120","119","119","119","1.103","1.103","1.103"
"121","120","120","120","1.1039","1.1039","1.1039"
"122","121","121","121","1.1043","1.1043","1.1043"
"123","122","122","122","1.105","1.105","1.105"
"124","123","123","123","1.1056","1.1056","1.1056"
"125","124","124","124","1.1062","1.1062","1.1062"
"126","125","125","125","1.1065","1.1065","1.1065"
"127","126","126","126","1.1068","1.1068","1.1068"
"128","127","127","127","1.1071","1.1071","1.1071"
"129","128","128","128","1.1074","1.1074","1.1074"
"130","129","129","129","1.1077","1.1077","1.1077"
"131","130","130","130","1.1079","1.1079","1.1079"
"132","131","131","131","1.108","1.108","1.108"
"133","132","132","132","1.108","1.108","1.108"
"134","133","133","133","1.1081","1.1081","1.1081"
"135","134","134","134","1.1084","1.1084","1.1084"
"136","135","135","135","1.1085","1.1085","1.1085"
"137","136","136","136","1.1086","1.1086","1.1086"
"138","137","137","137","1.1086","1.1086","1.1086"
"139","138","138","138","1.1087","1.1087","1.1087"
"140","139","139","139","1.1088","1.1088","1.1088"
"141","140","140","140","1.1089","1.1089","1.1089"
"142","141","141","141","1.109","1.109","1.109"
"143","142","142","142","1.1092","1.1092","1.1092"
"144","143","143","143","1.1093","1.1093","1.1093"
"145","144","144","144","1.1094","1.1094","1.1094"
"146","145","145","145","1.1094","1.1094","1.1094"
"147","146","146","146","1.1095","1.1095","1.1095"
"148","147","147","147","1.1094","1.1094","1.1094"
"149","148","148","148","1.1094","1.1094","1.1094"
"150","149","149","149","1.1096","1.1096","1.1096"
"151","150","150","150","1.1096","1.1096","1.1096"
"152","151","151","151","1.1096","1.1096","1.1096"
"153","152","152","152","1.1096","1.1096","1.1096"
"154","153","153","153","1.1096","1.1096","1.1096"
"155","154","154","154","1.1096","1.1096","1.1096"
"156","155","155","155","1.1096","1.1096","1.1096"
"157","156","156","156","1.1096","1.1096","1.1096"
"158","157","157","157","1.1096","1.1096","1.1096"
"159","158","158","158","1.1096","1.1096","1.1096"
"160","159","159","159","1.1096","1.1096","1.1096"
