"epoch","deep-feather-131 - _step","deep-feather-131 - _step__MIN","deep-feather-131 - _step__MAX","deep-feather-131 - sparsity","deep-feather-131 - sparsity__MIN","deep-feather-131 - sparsity__MAX"
"127","126","126","126","1.962","1.962","1.962"
"128","127","127","127","1.9622","1.9622","1.9622"
"129","128","128","128","1.9623","1.9623","1.9623"
"130","129","129","129","1.9625","1.9625","1.9625"
"131","130","130","130","1.9629","1.9629","1.9629"
"132","131","131","131","1.9628","1.9628","1.9628"
"133","132","132","132","1.9631","1.9631","1.9631"
"134","133","133","133","1.9631","1.9631","1.9631"
"135","134","134","134","1.9633","1.9633","1.9633"
"136","135","135","135","1.9634","1.9634","1.9634"
"137","136","136","136","1.9634","1.9634","1.9634"
"138","137","137","137","1.9634","1.9634","1.9634"
"139","138","138","138","1.9635","1.9635","1.9635"
"140","139","139","139","1.9636","1.9636","1.9636"
"141","140","140","140","1.9636","1.9636","1.9636"
"142","141","141","141","1.9636","1.9636","1.9636"
"143","142","142","142","1.9637","1.9637","1.9637"
"144","143","143","143","1.9637","1.9637","1.9637"
"145","144","144","144","1.9637","1.9637","1.9637"
"146","145","145","145","1.9637","1.9637","1.9637"
"147","146","146","146","1.9638","1.9638","1.9638"
"148","147","147","147","1.9637","1.9637","1.9637"
"149","148","148","148","1.9638","1.9638","1.9638"
"150","149","149","149","1.9638","1.9638","1.9638"
"151","150","150","150","1.9638","1.9638","1.9638"
"152","151","151","151","1.9638","1.9638","1.9638"
"153","152","152","152","1.9638","1.9638","1.9638"
"154","153","153","153","1.9638","1.9638","1.9638"
"155","154","154","154","1.9638","1.9638","1.9638"
"156","155","155","155","1.9638","1.9638","1.9638"
"157","156","156","156","1.9638","1.9638","1.9638"
"158","157","157","157","1.9638","1.9638","1.9638"
"159","158","158","158","1.9638","1.9638","1.9638"
"160","159","159","159","1.9638","1.9638","1.9638"
