"epoch","devout-river-164 - _step","devout-river-164 - _step__MIN","devout-river-164 - _step__MAX","devout-river-164 - accuracy","devout-river-164 - accuracy__MIN","devout-river-164 - accuracy__MAX"
"142","141","141","141","92.75","92.75","92.75"
"143","142","142","142","92.12","92.12","92.12"
"144","143","143","143","92.81","92.81","92.81"
"145","144","144","144","92.85","92.85","92.85"
"146","145","145","145","92.28","92.28","92.28"
"147","146","146","146","93.16","93.16","93.16"
"148","147","147","147","92.64","92.64","92.64"
"149","148","148","148","92.92","92.92","92.92"
"150","149","149","149","92.8","92.8","92.8"
"151","150","150","150","93","93","93"
"152","151","151","151","92.92","92.92","92.92"
"153","152","152","152","92.91","92.91","92.91"
"154","153","153","153","92.63","92.63","92.63"
"155","154","154","154","92.64","92.64","92.64"
"156","155","155","155","92.51","92.51","92.51"
"157","156","156","156","92.86","92.86","92.86"
"158","157","157","157","93.06","93.06","93.06"
"159","158","158","158","91.86","91.86","91.86"
"160","159","159","159","92.25","92.25","92.25"
